anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
46.0,43.0,33.0,54.0,59.0,135.0,147.0,69.0,22.0,64.0
38.0,39.0,35.0,51.0,83.0,129.0,180.0,55.0,30.0,80.0
30.0,35.0,22.0,29.0,72.0,96.0,172.0,45.0,20.0,63.0
46.0,43.0,33.0,54.0,59.0,135.0,147.0,69.0,22.0,64.0
48.0,34.0,38.0,52.0,57.0,129.0,152.0,60.0,26.0,68.0
51.0,44.0,42.0,55.0,60.0,139.0,155.0,72.0,22.0,71.0
43.0,46.0,34.0,51.0,70.0,118.0,164.0,63.0,24.0,77.0
47.0,36.0,40.0,55.0,58.0,131.0,151.0,69.0,25.0,77.0
43.0,44.0,40.0,53.0,64.0,125.0,150.0,67.0,24.0,71.0
63.0,34.0,46.0,66.0,48.0,149.0,124.0,80.0,18.0,62.0
49.0,50.0,36.0,53.0,72.0,125.0,162.0,67.0,23.0,80.0
51.0,36.0,37.0,51.0,55.0,137.0,146.0,65.0,22.0,68.0
46.0,33.0,40.0,52.0,59.0,143.0,140.0,71.0,20.0,66.0
45.0,32.0,39.0,51.0,56.0,134.0,151.0,58.0,24.0,68.0
40.0,40.0,41.0,46.0,63.0,125.0,150.0,63.0,20.0,72.0
45.0,39.0,42.0,62.0,89.0,141.0,209.0,80.0,32.0,90.0
48.0,46.0,32.0,49.0,64.0,120.0,151.0,54.0,20.0,73.0
46.0,38.0,43.0,49.0,55.0,133.0,159.0,70.0,21.0,72.0
47.0,49.0,38.0,54.0,69.0,126.0,156.0,68.0,23.0,73.0
42.0,38.0,31.0,46.0,53.0,111.0,149.0,57.0,23.0,66.0
43.0,36.0,37.0,47.0,58.0,122.0,151.0,67.0,23.0,75.0
41.0,37.0,35.0,51.0,55.0,128.0,128.0,60.0,21.0,60.0
47.0,51.0,37.0,52.0,68.0,118.0,165.0,65.0,21.0,78.0
51.0,39.0,38.0,52.0,58.0,128.0,149.0,64.0,24.0,71.0
45.0,34.0,38.0,56.0,53.0,130.0,124.0,70.0,21.0,61.0
41.0,35.0,36.0,53.0,60.0,128.0,155.0,59.0,25.0,71.0
44.0,33.0,42.0,52.0,53.0,136.0,141.0,62.0,24.0,73.0
44.0,36.0,38.0,46.0,53.0,125.0,154.0,65.0,18.0,84.0
49.0,37.0,45.0,59.0,78.0,146.0,197.0,80.0,30.0,94.0
40.0,33.0,38.0,55.0,80.0,122.0,179.0,59.0,29.0,84.0
32.0,36.0,20.0,33.0,80.0,93.0,180.0,48.0,20.0,67.0
58.0,46.0,41.0,58.0,62.0,145.0,153.0,72.0,21.0,73.0
47.0,36.0,41.0,52.0,54.0,130.0,150.0,65.0,24.0,69.0
48.0,40.0,38.0,50.0,53.0,122.0,143.0,70.0,17.0,66.0
51.0,48.0,40.0,52.0,67.0,128.0,168.0,67.0,22.0,81.0
46.0,46.0,36.0,56.0,75.0,127.0,165.0,64.0,27.0,78.0
56.0,42.0,45.0,54.0,76.0,141.0,196.0,81.0,28.0,97.0
